Board of Elections,Equipment Class,Equipment Count,,,,,,,,Department,Department
Board of Elections,Van,1,,,,,,,,Board of,Elections
Circuit Court,Off Road Vehicle Equipment,2,,,,,,,,Board of,Elections
Community Engagement Cluster,SUV,1,,,,,,,,Circuit,Court
Community Engagement Cluster,Pick Up Trucks,8,,,,,,,,Community Engagement,Cluster
Community Engagement Cluster,Off Road Vehicle Equipment,7,,,,,,,,Community Engagement,Cluster
Community Use of Public Facilities,SUV,2,,,,,,,,Community Engagement,Cluster
Consumer Protection,Sedan,1,,,,,,,,Community Use of Public,Facilities
Correction and Rehabilitation,Sedan,1,,,,,,,,Consumer,Protection
Correction and Rehabilitation,Off Road Vehicle Equipment,3,,,,,,,,Correction and,Rehabilitation
Correction and Rehabilitation,Public Safety Sedan,1,,,,,,,,Correction and,Rehabilitation
Correction and Rehabilitation,Public Safety SUV,2,,,,,,,,Correction and,Rehabilitation
Correction and Rehabilitation,SUV,3,,,,,,,,Correction and,Rehabilitation
Correction and Rehabilitation,Pick Up Trucks,1,,,,,,,,Correction and,Rehabilitation
Correction and Rehabilitation,Van,8,,,,,,,,Correction and,Rehabilitation
Correction and Rehabilitation,Sedan,10,,,,,,,,Correction and,Rehabilitation
County Executives Office,CUV,1,,,,,,,,Correction and,Rehabilitation
County Executives Office,Sedan,2,,,,,,,,County Executives,Office
Economic Development,Public Safety SUV,3,,,,,,,,County Executives,Office
Environmental Protection,SUV,1,,,,,,,,Economic,Development
Environmental Protection,SUV,18,,,,,,,,Environmental,Protection
Environmental Protection,Sedan,15,,,,,,,,Environmental,Protection
Environmental Protection,Van,3,,,,,,,,Environmental,Protection
Environmental Protection,CUV,1,,,,,,,,Environmental,Protection
Environmental Protection,Medium Duty,2,,,,,,,,Environmental,Protection
Finance ,Pick Up Trucks,33,,,,,,,,Environmental,Protection
Fire and Rescue,Sedan,3,,,,,,,,Finance,
Fire and Rescue,Public Safety SUV,27,,,,,,,,Fire and,Rescue
Fire and Rescue,Public Safety Pick Up Trucks,12,,,,,,,,Fire and,Rescue
Fire and Rescue,Public Safety Sedan,18,,,,,,,,Fire and,Rescue
Fire and Rescue,Public Safety Van,11,,,,,,,,Fire and,Rescue
Fire and Rescue,SUV,6,,,,,,,,Fire and,Rescue
Fire and Rescue,Van,4,,,,,,,,Fire and,Rescue
Fire and Rescue,Off Road Vehicle Equipment,2,,,,,,,,Fire and,Rescue
Fire and Rescue,Pick Up Trucks,12,,,,,,,,Fire and,Rescue
Fire and Rescue,Sedan,1,,,,,,,,Fire and,Rescue
Fire and Rescue,Public Safety CUV,4,,,,,,,,Fire and,Rescue
Fire and Rescue,Public Safety Heavy Duty,1,,,,,,,,Fire and,Rescue
Fire and Rescue,Heavy Duty,1,,,,,,,,Fire and,Rescue
General Services,Transit Bus,1,,,,,,,,Fire and,Rescue
General Services,Public Safety Van,1,,,,,,,,General,Services
General Services,SUV,21,,,,,,,,General,Services
General Services,Public Safety Heavy Duty,1,,,,,,,,General,Services
General Services,Off Road Vehicle Equipment,45,,,,,,,,General,Services
General Services,Sedan,31,,,,,,,,General,Services
General Services,Medium Duty,3,,,,,,,,General,Services
General Services,Van,42,,,,,,,,General,Services
General Services,CUV,5,,,,,,,,General,Services
General Services,Heavy Duty,5,,,,,,,,General,Services
Health and Human Services,Pick Up Trucks,48,,,,,,,,General,Services
Health and Human Services,CUV,5,,,,,,,,Health and Human,Services
Health and Human Services,Van,15,,,,,,,,Health and Human,Services
Health and Human Services,Public Safety SUV,1,,,,,,,,Health and Human,Services
,Sedan,75,,,,,,,,Health and Human,Services
